Name EN,Name HU,Name RO,Date,Value
,RO.BUIL,NA,1992-06,NA
,RO.BUIL,NA,1992-07,NA
,RO.BUIL,NA,1992-08,NA
,RO.BUIL,NA,1992-09,NA
,RO.BUIL,NA,1992-10,NA
,RO.BUIL,NA,1992-11,NA
,RO.BUIL,NA,1992-12,NA
,RO.BUIL,NA,1993-01,NA
,RO.BUIL,NA,1993-02,NA
,RO.BUIL,NA,1993-03,NA
,RO.BUIL,NA,1993-04,NA
,RO.BUIL,NA,1993-05,NA
,RO.BUIL,NA,1993-06,NA
,RO.BUIL,NA,1993-07,NA
,RO.BUIL,NA,1993-08,NA
,RO.BUIL,NA,1993-09,NA
,RO.BUIL,NA,1993-10,-9.1
,RO.BUIL,NA,1993-11,-7.7
,RO.BUIL,NA,1993-12,-6.6
,RO.BUIL,NA,1994-01,-4.5
,RO.BUIL,NA,1994-02,-3.4
,RO.BUIL,NA,1994-03,-2.1
,RO.BUIL,NA,1994-04,-3
,RO.BUIL,NA,1994-05,-1.8
,RO.BUIL,NA,1994-06,-0.3
,RO.BUIL,NA,1994-07,-2.5
,RO.BUIL,NA,1994-08,-1
,RO.BUIL,NA,1994-09,0.2
,RO.BUIL,NA,1994-10,2.5
,RO.BUIL,NA,1994-11,3.8
,RO.BUIL,NA,1994-12,4.8
,RO.BUIL,NA,1995-01,10.2
,RO.BUIL,NA,1995-02,11.1
,RO.BUIL,NA,1995-03,11.8
,RO.BUIL,NA,1995-04,19.7
,RO.BUIL,NA,1995-05,20.1
,RO.BUIL,NA,1995-06,20.9
,RO.BUIL,NA,1995-07,24.8
,RO.BUIL,NA,1995-08,25.2
,RO.BUIL,NA,1995-09,25.8
,RO.BUIL,NA,1995-10,16.5
,RO.BUIL,NA,1995-11,16.7
,RO.BUIL,NA,1995-12,17
,RO.BUIL,NA,1996-01,-3
,RO.BUIL,NA,1996-02,-2.9
,RO.BUIL,NA,1996-03,-3.2
,RO.BUIL,NA,1996-04,44
,RO.BUIL,NA,1996-05,43.5
,RO.BUIL,NA,1996-06,42.7
,RO.BUIL,NA,1996-07,42.2
,RO.BUIL,NA,1996-08,41.1
,RO.BUIL,NA,1996-09,40.1
,RO.BUIL,NA,1996-10,-15.5
,RO.BUIL,NA,1996-11,-16.8
,RO.BUIL,NA,1996-12,-17.9
,RO.BUIL,NA,1997-01,-19
,RO.BUIL,NA,1997-02,-20.3
,RO.BUIL,NA,1997-03,-21.6
,RO.BUIL,NA,1997-04,-25.2
,RO.BUIL,NA,1997-05,-26.7
,RO.BUIL,NA,1997-06,-28.5
,RO.BUIL,NA,1997-07,24.8
,RO.BUIL,NA,1997-08,22.9
,RO.BUIL,NA,1997-09,21.2
,RO.BUIL,NA,1997-10,16.9
,RO.BUIL,NA,1997-11,15.2
,RO.BUIL,NA,1997-12,13.3
,RO.BUIL,NA,1998-01,10.3
,RO.BUIL,NA,1998-02,8.4
,RO.BUIL,NA,1998-03,6.4
,RO.BUIL,NA,1998-04,-28.4
,RO.BUIL,NA,1998-05,-30.4
,RO.BUIL,NA,1998-06,-32.1
,RO.BUIL,NA,1998-07,1
,RO.BUIL,NA,1998-08,-0.7
,RO.BUIL,NA,1998-09,-2.5
,RO.BUIL,NA,1998-10,-33.2
,RO.BUIL,NA,1998-11,-34.6
,RO.BUIL,NA,1998-12,-36
,RO.BUIL,NA,1999-01,-28
,RO.BUIL,NA,1999-02,-29.7
,RO.BUIL,NA,1999-03,-31.6
,RO.BUIL,NA,1999-04,-33.7
,RO.BUIL,NA,1999-05,-35.1
,RO.BUIL,NA,1999-06,-36.6
,RO.BUIL,NA,1999-07,-34.1
,RO.BUIL,NA,1999-08,-35.4
,RO.BUIL,NA,1999-09,-36.8
,RO.BUIL,NA,1999-10,-37.1
,RO.BUIL,NA,1999-11,-37.5
,RO.BUIL,NA,1999-12,-38
,RO.BUIL,NA,2000-01,-40.3
,RO.BUIL,NA,2000-02,-43.4
,RO.BUIL,NA,2000-03,-46.6
,RO.BUIL,NA,2000-04,-16.6
,RO.BUIL,NA,2000-05,-17.2
,RO.BUIL,NA,2000-06,-17.6
,RO.BUIL,NA,2000-07,-22.5
,RO.BUIL,NA,2000-08,-22.9
,RO.BUIL,NA,2000-09,-23
,RO.BUIL,NA,2000-10,-35.1
,RO.BUIL,NA,2000-11,-33.4
,RO.BUIL,NA,2000-12,-32.4
,RO.BUIL,NA,2001-01,-28
,RO.BUIL,NA,2001-02,-24
,RO.BUIL,NA,2001-03,-18.8
,RO.BUIL,NA,2001-04,-18.1
,RO.BUIL,NA,2001-05,-16.7
,RO.BUIL,NA,2001-06,-15.5
,RO.BUIL,NA,2001-07,-14.7
,RO.BUIL,NA,2001-08,-14.5
,RO.BUIL,NA,2001-09,-11.4
,RO.BUIL,NA,2001-10,-25
,RO.BUIL,NA,2001-11,-22.6
,RO.BUIL,NA,2001-12,-21.3
,RO.BUIL,NA,2002-01,-4.5
,RO.BUIL,NA,2002-02,-12.3
,RO.BUIL,NA,2002-03,-19.2
,RO.BUIL,NA,2002-04,-22.3
,RO.BUIL,NA,2002-05,-23.3
,RO.BUIL,NA,2002-06,-27
,RO.BUIL,NA,2002-07,-29.7
,RO.BUIL,NA,2002-08,-23
,RO.BUIL,NA,2002-09,-26.8
,RO.BUIL,NA,2002-10,-26.8
,RO.BUIL,NA,2002-11,-27.8
,RO.BUIL,NA,2002-12,-26.8
,RO.BUIL,NA,2003-01,-22.8
,RO.BUIL,NA,2003-02,-20
,RO.BUIL,NA,2003-03,-16.8
,RO.BUIL,NA,2003-04,-5.1
,RO.BUIL,NA,2003-05,-8.4
,RO.BUIL,NA,2003-06,-4.2
,RO.BUIL,NA,2003-07,-4
,RO.BUIL,NA,2003-08,-5.1
,RO.BUIL,NA,2003-09,-2
,RO.BUIL,NA,2003-10,-0.3
,RO.BUIL,NA,2003-11,0
,RO.BUIL,NA,2003-12,-0.9
,RO.BUIL,NA,2004-01,-13.4
,RO.BUIL,NA,2004-02,-10.8
,RO.BUIL,NA,2004-03,-10.2
,RO.BUIL,NA,2004-04,-10.6
,RO.BUIL,NA,2004-05,-7
,RO.BUIL,NA,2004-06,-9
,RO.BUIL,NA,2004-07,-9.7
,RO.BUIL,NA,2004-08,-16
,RO.BUIL,NA,2004-09,-14.2
,RO.BUIL,NA,2004-10,-11.4
,RO.BUIL,NA,2004-11,-11.7
,RO.BUIL,NA,2004-12,-11.6
,RO.BUIL,NA,2005-01,-11.2
,RO.BUIL,NA,2005-02,-13.9
,RO.BUIL,NA,2005-03,-13.1
,RO.BUIL,NA,2005-04,-12.6
,RO.BUIL,NA,2005-05,-15.4
,RO.BUIL,NA,2005-06,-14.5
,RO.BUIL,NA,2005-07,-13.4
,RO.BUIL,NA,2005-08,-10.9
,RO.BUIL,NA,2005-09,-9.8
,RO.BUIL,NA,2005-10,-12.8
,RO.BUIL,NA,2005-11,-11.2
,RO.BUIL,NA,2005-12,-10.5
,RO.BUIL,NA,2006-01,-8.8
,RO.BUIL,NA,2006-02,-7.9
,RO.BUIL,NA,2006-03,-9.5
,RO.BUIL,NA,2006-04,-8.7
,RO.BUIL,NA,2006-05,-5
,RO.BUIL,NA,2006-06,-4.7
,RO.BUIL,NA,2006-07,-6.3
,RO.BUIL,NA,2006-08,-5.3
,RO.BUIL,NA,2006-09,-4
,RO.BUIL,NA,2006-10,-3.7
,RO.BUIL,NA,2006-11,-4.2
,RO.BUIL,NA,2006-12,-4.7
,RO.BUIL,NA,2007-01,-4.1
,RO.BUIL,NA,2007-02,-2.4
,RO.BUIL,NA,2007-03,-2
,RO.BUIL,NA,2007-04,-1.8
,RO.BUIL,NA,2007-05,-2.2
,RO.BUIL,NA,2007-06,-2.5
,RO.BUIL,NA,2007-07,0.3
,RO.BUIL,NA,2007-08,-2.4
,RO.BUIL,NA,2007-09,-1.9
,RO.BUIL,NA,2007-10,-1.2
,RO.BUIL,NA,2007-11,-0.1
,RO.BUIL,NA,2007-12,1.9
,RO.BUIL,NA,2008-01,-22.5
,RO.BUIL,NA,2008-02,1.8
,RO.BUIL,NA,2008-03,1.6
,RO.BUIL,NA,2008-04,0.5
,RO.BUIL,NA,2008-05,-1.2
,RO.BUIL,NA,2008-06,-2.2
,RO.BUIL,NA,2008-07,-5.7
,RO.BUIL,NA,2008-08,-6.1
,RO.BUIL,NA,2008-09,-9.5
,RO.BUIL,NA,2008-10,-10
,RO.BUIL,NA,2008-11,-13.5
,RO.BUIL,NA,2008-12,-18.8
,RO.BUIL,NA,2009-01,-22.7
,RO.BUIL,NA,2009-02,-28.4
,RO.BUIL,NA,2009-03,-29.9
,RO.BUIL,NA,2009-04,-32.9
,RO.BUIL,NA,2009-05,-35.4
,RO.BUIL,NA,2009-06,-36
,RO.BUIL,NA,2009-07,-37.1
,RO.BUIL,NA,2009-08,-39
,RO.BUIL,NA,2009-09,-38.6
,RO.BUIL,NA,2009-10,-40.2
,RO.BUIL,NA,2009-11,-41.9
,RO.BUIL,NA,2009-12,-41
,RO.BUIL,NA,2010-01,-41.8
,RO.BUIL,NA,2010-02,-41.6
,RO.BUIL,NA,2010-03,-41.6
,RO.BUIL,NA,2010-04,-40.3
,RO.BUIL,NA,2010-05,-40.1
,RO.BUIL,NA,2010-06,-41.2
,RO.BUIL,NA,2010-07,-41.3
,RO.BUIL,NA,2010-08,-38.3
,RO.BUIL,NA,2010-09,-38
,RO.BUIL,NA,2010-10,-37.6
,RO.BUIL,NA,2010-11,-34.7
,RO.BUIL,NA,2010-12,-32.7
,RO.BUIL,NA,2011-01,-30.7
,RO.BUIL,NA,2011-02,-27.1
,RO.BUIL,NA,2011-03,-27.1
,RO.BUIL,NA,2011-04,-28.1
,RO.BUIL,NA,2011-05,-25.8
,RO.BUIL,NA,2011-06,-25.2
,RO.BUIL,NA,2011-07,-22.2
,RO.BUIL,NA,2011-08,-23.8
,RO.BUIL,NA,2011-09,-22.7
,RO.BUIL,NA,2011-10,-21.8
,RO.BUIL,NA,2011-11,-22.8
,RO.BUIL,NA,2011-12,-23.4
,RO.BUIL,NA,2012-01,-22.2
,RO.BUIL,NA,2012-02,-25.8
,RO.BUIL,NA,2012-03,-24
,RO.BUIL,NA,2012-04,-21.7
,RO.BUIL,NA,2012-05,-23.3
,RO.BUIL,NA,2012-06,-22.7
,RO.BUIL,NA,2012-07,-24.8
,RO.BUIL,NA,2012-08,-25.4
,RO.BUIL,NA,2012-09,-25.9
,RO.BUIL,NA,2012-10,-27.1
,RO.BUIL,NA,2012-11,-26.5
,RO.BUIL,NA,2012-12,-27
,RO.BUIL,NA,2013-01,-27.9
,RO.BUIL,NA,2013-02,-27.8
,RO.BUIL,NA,2013-03,-29.8
,RO.BUIL,NA,2013-04,-31.2
,RO.BUIL,NA,2013-05,-29.9
,RO.BUIL,NA,2013-06,-29
,RO.BUIL,NA,2013-07,-29.2
,RO.BUIL,NA,2013-08,-27.5
,RO.BUIL,NA,2013-09,-28.4
,RO.BUIL,NA,2013-10,-27.5
,RO.BUIL,NA,2013-11,-27.7
,RO.BUIL,NA,2013-12,-27.4
,RO.BUIL,NA,2014-01,-26.6
,RO.BUIL,NA,2014-02,-24.4
,RO.BUIL,NA,2014-03,-23.1
,RO.BUIL,NA,2014-04,-21.8
,RO.BUIL,NA,2014-05,-20.8
,RO.BUIL,NA,2014-06,-22.8
,RO.BUIL,NA,2014-07,-20.8
,RO.BUIL,NA,2014-08,-21.4
,RO.BUIL,NA,2014-09,-19.4
,RO.BUIL,NA,2014-10,-19.2
,RO.BUIL,NA,2014-11,-18.5
,RO.BUIL,NA,2014-12,-18.1
,RO.BUIL,NA,2015-01,-17.7
,RO.BUIL,NA,2015-02,-14.1
,RO.BUIL,NA,2015-03,-15
,RO.BUIL,NA,2015-04,-15
,RO.BUIL,NA,2015-05,-15.6
,RO.BUIL,NA,2015-06,-13.6
,RO.BUIL,NA,2015-07,-14.5
,RO.BUIL,NA,2015-08,-13.1
,RO.BUIL,NA,2015-09,-13.8
,RO.BUIL,NA,2015-10,-12.4
,RO.BUIL,NA,2015-11,-12
,RO.BUIL,NA,2015-12,-11.8
,RO.BUIL,NA,2016-01,-11.6
,RO.BUIL,NA,2016-02,-15.1
,RO.BUIL,NA,2016-03,-12.9
,RO.BUIL,NA,2016-04,-14
,RO.BUIL,NA,2016-05,-14.4
,RO.BUIL,NA,2016-06,-13.4
,RO.BUIL,NA,2016-07,-12.5
,RO.BUIL,NA,2016-08,-13.4
,RO.BUIL,NA,2016-09,-12.9
,RO.BUIL,NA,2016-10,-13
,RO.BUIL,NA,2016-11,-13.2
,RO.BUIL,NA,2016-12,-12.5
,RO.BUIL,NA,2017-01,-14.4
,RO.BUIL,NA,2017-02,-11.9
,RO.BUIL,NA,2017-03,-13.5
,RO.BUIL,NA,2017-04,-11.4
,RO.BUIL,NA,2017-05,-10.8
,RO.BUIL,NA,2017-06,-12.6
,RO.BUIL,NA,2017-07,-12.6
,RO.BUIL,NA,2017-08,-12.8
,RO.BUIL,NA,2017-09,-12.6
,RO.BUIL,NA,2017-10,-13.8
,RO.BUIL,NA,2017-11,-13.7
,RO.BUIL,NA,2017-12,-13.6
,RO.BUIL,NA,2018-01,-10.8
,RO.BUIL,NA,2018-02,-13.5
,RO.BUIL,NA,2018-03,-12.2
,RO.BUIL,NA,2018-04,-13.1
,RO.BUIL,NA,2018-05,-13
,RO.BUIL,NA,2018-06,-11.7
,RO.BUIL,NA,2018-07,-11.3
,RO.BUIL,NA,2018-08,-9
,RO.BUIL,NA,2018-09,-9
,RO.BUIL,NA,2018-10,-7.9
,RO.BUIL,NA,2018-11,-7.4
,RO.BUIL,NA,2018-12,-7
,RO.BUIL,NA,2019-01,-8.6
,RO.BUIL,NA,2019-02,-6.1
,RO.BUIL,NA,2019-03,-5.6
,RO.BUIL,NA,2019-04,-5.3
,RO.BUIL,NA,2019-05,-4.7
,RO.BUIL,NA,2019-06,-6.7
,RO.BUIL,NA,2019-07,-5.4
,RO.BUIL,NA,2019-08,-6.4
,RO.BUIL,NA,2019-09,-4.9
,RO.BUIL,NA,2019-10,-5.3
,RO.BUIL,NA,2019-11,-2.9
,RO.BUIL,NA,2019-12,-3.7
,RO.BUIL,NA,2020-01,-3.4
,RO.BUIL,NA,2020-02,-3.3
,RO.BUIL,NA,2020-03,-3.5
,RO.BUIL,NA,2020-04,-46.5
,RO.BUIL,NA,2020-05,-32.7
,RO.BUIL,NA,2020-06,-19.5
,RO.BUIL,NA,2020-07,-15.4
,RO.BUIL,NA,2020-08,-12.2
,RO.BUIL,NA,2020-09,-10.2
,RO.BUIL,NA,2020-10,-8.6
,RO.BUIL,NA,2020-11,-10.5
,RO.BUIL,NA,2020-12,-9.8
,RO.BUIL,NA,2021-01,-7.2
,RO.BUIL,NA,2021-02,-7.5
,RO.BUIL,NA,2021-03,-7.7
,RO.BUIL,NA,2021-04,-8
,RO.BUIL,NA,2021-05,-8.6
,RO.BUIL,NA,2021-06,-10.6
,RO.BUIL,NA,2021-07,-9.7
,RO.BUIL,NA,2021-08,-8.2
,RO.BUIL,NA,2021-09,-9.5
,RO.BUIL,NA,2021-10,-8.4
,RO.BUIL,NA,2021-11,-9
,RO.BUIL,NA,2021-12,-6.7
,RO.BUIL,NA,2022-01,-8.2
,RO.BUIL,NA,2022-02,-8.1
,RO.BUIL,NA,2022-03,-8.9
,RO.BUIL,NA,2022-04,-8.9
,RO.BUIL,NA,2022-05,-10.6
,RO.BUIL,NA,2022-06,-10
,RO.BUIL,NA,2022-07,-10.5
,RO.BUIL,NA,2022-08,-10.7
,RO.BUIL,NA,2022-09,-8.7
,RO.BUIL,NA,2022-10,-9.5
,RO.BUIL,NA,2022-11,-7.1
,RO.BUIL,NA,2022-12,-8.5
,RO.BUIL,NA,2023-01,-8.2
,RO.BUIL,NA,2023-02,-9.1
,RO.BUIL,NA,2023-03,-7.9
,RO.BUIL,NA,2023-04,-8.5
,RO.BUIL,NA,2023-05,-5.4
,RO.BUIL,NA,2023-06,-5.8
,RO.BUIL,NA,2023-07,-5.5
,RO.BUIL,NA,2023-08,-6
,RO.BUIL,NA,2023-09,-6.6
,RO.BUIL,NA,2023-10,-5.9
,RO.BUIL,NA,2023-11,-6.5
,RO.BUIL,NA,2023-12,-6.2
,RO.BUIL,NA,2024-01,-6.4
,RO.BUIL,NA,2024-02,-5.4
,RO.BUIL,NA,2024-03,-5.6
,RO.BUIL,NA,2024-04,-4.8
,RO.BUIL,NA,2024-05,-6.2
,RO.BUIL,NA,2024-06,-6.1
,RO.BUIL,NA,2024-07,-5.5
,RO.BUIL,NA,2024-08,-4.7
,RO.BUIL,NA,2024-09,
,RO.BUIL,NA,2024-10,
,RO.BUIL,NA,2024-11,
,RO.BUIL,NA,2024-12,
,RO.BUIL,NA,2025-01,
,RO.BUIL,NA,2025-02,
,RO.BUIL,NA,2025-03,
,RO.BUIL,NA,2025-04,
,RO.BUIL,NA,2025-05,
,RO.BUIL,NA,2025-06,
,RO.BUIL,NA,2025-07,
,RO.BUIL,NA,2025-08,
,RO.BUIL,NA,2025-09,
,RO.BUIL,NA,2025-10,
,RO.BUIL,NA,2025-11,
,RO.BUIL,NA,2025-12,
,RO.BUIL,NA,2026-01,
,RO.BUIL,NA,2026-02,
,RO.BUIL,NA,2026-03,
,RO.BUIL,NA,2026-04,
,RO.BUIL,NA,2026-05,
,RO.BUIL,NA,2026-06,
,RO.BUIL,NA,2026-07,
,RO.BUIL,NA,2026-08,
,RO.BUIL,NA,2026-09,
,RO.BUIL,NA,2026-10,
,RO.BUIL,NA,2026-11,
,RO.BUIL,NA,2026-12,
,RO.ESI,NA,1985-02,NA
,RO.ESI,NA,1985-03,NA
,RO.ESI,NA,1985-04,NA
,RO.ESI,NA,1985-05,NA
,RO.ESI,NA,1985-06,NA
,RO.ESI,NA,1985-07,NA
,RO.ESI,NA,1985-08,NA
,RO.ESI,NA,1985-09,NA
,RO.ESI,NA,1985-10,NA
,RO.ESI,NA,1985-11,NA
,RO.ESI,NA,1985-12,NA
,RO.ESI,NA,1986-01,NA
,RO.ESI,NA,1986-02,NA
,RO.ESI,NA,1986-03,NA
,RO.ESI,NA,1986-04,NA
,RO.ESI,NA,1986-05,NA
,RO.ESI,NA,1986-06,NA
,RO.ESI,NA,1986-07,NA
,RO.ESI,NA,1986-08,NA
,RO.ESI,NA,1986-09,NA
,RO.ESI,NA,1986-10,NA
,RO.ESI,NA,1986-11,NA
,RO.ESI,NA,1986-12,NA
,RO.ESI,NA,1987-01,NA
,RO.ESI,NA,1987-02,NA
,RO.ESI,NA,1987-03,NA
,RO.ESI,NA,1987-04,NA
,RO.ESI,NA,1987-05,NA
,RO.ESI,NA,1987-06,NA
,RO.ESI,NA,1987-07,NA
,RO.ESI,NA,1987-08,NA
,RO.ESI,NA,1987-09,NA
,RO.ESI,NA,1987-10,NA
,RO.ESI,NA,1987-11,NA
,RO.ESI,NA,1987-12,NA
,RO.ESI,NA,1988-01,NA
,RO.ESI,NA,1988-02,NA
,RO.ESI,NA,1988-03,NA
,RO.ESI,NA,1988-04,NA
,RO.ESI,NA,1988-05,NA
,RO.ESI,NA,1988-06,NA
,RO.ESI,NA,1988-07,NA
,RO.ESI,NA,1988-08,NA
,RO.ESI,NA,1988-09,NA
,RO.ESI,NA,1988-10,NA
,RO.ESI,NA,1988-11,NA
,RO.ESI,NA,1988-12,NA
,RO.ESI,NA,1989-01,NA
,RO.ESI,NA,1989-02,NA
,RO.ESI,NA,1989-03,NA
,RO.ESI,NA,1989-04,NA
,RO.ESI,NA,1989-05,NA
,RO.ESI,NA,1989-06,NA
,RO.ESI,NA,1989-07,NA
,RO.ESI,NA,1989-08,NA
,RO.ESI,NA,1989-09,NA
,RO.ESI,NA,1989-10,NA
,RO.ESI,NA,1989-11,NA
,RO.ESI,NA,1989-12,NA
,RO.ESI,NA,1990-01,NA
,RO.ESI,NA,1990-02,NA
,RO.ESI,NA,1990-03,NA
,RO.ESI,NA,1990-04,NA
,RO.ESI,NA,1990-05,NA
,RO.ESI,NA,1990-06,NA
,RO.ESI,NA,1990-07,NA
,RO.ESI,NA,1990-08,NA
,RO.ESI,NA,1990-09,NA
,RO.ESI,NA,1990-10,NA
,RO.ESI,NA,1990-11,NA
,RO.ESI,NA,1990-12,NA
,RO.ESI,NA,1991-01,NA
,RO.ESI,NA,1991-02,NA
,RO.ESI,NA,1991-03,NA
,RO.ESI,NA,1991-04,NA
,RO.ESI,NA,1991-05,NA
,RO.ESI,NA,1991-06,NA
,RO.ESI,NA,1991-07,83.4
,RO.ESI,NA,1991-08,85.3
,RO.ESI,NA,1991-09,86.8
,RO.ESI,NA,1991-10,86.9
,RO.ESI,NA,1991-11,87.9
,RO.ESI,NA,1991-12,88.8
,RO.ESI,NA,1992-01,89.8
,RO.ESI,NA,1992-02,90.5
,RO.ESI,NA,1992-03,91.3
,RO.ESI,NA,1992-04,43.8
,RO.ESI,NA,1992-05,44.5
,RO.ESI,NA,1992-06,45
,RO.ESI,NA,1992-07,-7.1
,RO.ESI,NA,1992-08,-5.3
,RO.ESI,NA,1992-09,-3.7
,RO.ESI,NA,1992-10,32.5
,RO.ESI,NA,1992-11,33.4
,RO.ESI,NA,1992-12,34.3
,RO.ESI,NA,1993-01,63.7
,RO.ESI,NA,1993-02,64.3
,RO.ESI,NA,1993-03,64.9
,RO.ESI,NA,1993-04,62.1
,RO.ESI,NA,1993-05,62.7
,RO.ESI,NA,1993-06,63.2
,RO.ESI,NA,1993-07,85.5
,RO.ESI,NA,1993-08,87
,RO.ESI,NA,1993-09,88.3
,RO.ESI,NA,1993-10,90.2
,RO.ESI,NA,1993-11,91.1
,RO.ESI,NA,1993-12,91.9
,RO.ESI,NA,1994-01,63.6
,RO.ESI,NA,1994-02,64.3
,RO.ESI,NA,1994-03,65.1
,RO.ESI,NA,1994-04,56.9
,RO.ESI,NA,1994-05,57.6
,RO.ESI,NA,1994-06,58.2
,RO.ESI,NA,1994-07,58.2
,RO.ESI,NA,1994-08,59.4
,RO.ESI,NA,1994-09,60.5
,RO.ESI,NA,1994-10,79.8
,RO.ESI,NA,1994-11,80.5
,RO.ESI,NA,1994-12,81.3
,RO.ESI,NA,1995-01,104.1
,RO.ESI,NA,1995-02,104.8
,RO.ESI,NA,1995-03,105.5
,RO.ESI,NA,1995-04,119.5
,RO.ESI,NA,1995-05,120
,RO.ESI,NA,1995-06,120.5
,RO.ESI,NA,1995-07,121.6
,RO.ESI,NA,1995-08,122.5
,RO.ESI,NA,1995-09,123.3
,RO.ESI,NA,1995-10,125.9
,RO.ESI,NA,1995-11,126.3
,RO.ESI,NA,1995-12,127
,RO.ESI,NA,1996-01,126.1
,RO.ESI,NA,1996-02,126.8
,RO.ESI,NA,1996-03,127.3
,RO.ESI,NA,1996-04,143.2
,RO.ESI,NA,1996-05,143.3
,RO.ESI,NA,1996-06,143.3
,RO.ESI,NA,1996-07,116.7
,RO.ESI,NA,1996-08,117
,RO.ESI,NA,1996-09,117.6
,RO.ESI,NA,1996-10,101.4
,RO.ESI,NA,1996-11,101.5
,RO.ESI,NA,1996-12,101.8
,RO.ESI,NA,1997-01,95.2
,RO.ESI,NA,1997-02,95.4
,RO.ESI,NA,1997-03,95.6
,RO.ESI,NA,1997-04,79.4
,RO.ESI,NA,1997-05,79.4
,RO.ESI,NA,1997-06,79.2
,RO.ESI,NA,1997-07,79.2
,RO.ESI,NA,1997-08,79.1
,RO.ESI,NA,1997-09,79.4
,RO.ESI,NA,1997-10,83.1
,RO.ESI,NA,1997-11,82.8
,RO.ESI,NA,1997-12,83
,RO.ESI,NA,1998-01,86.6
,RO.ESI,NA,1998-02,86.5
,RO.ESI,NA,1998-03,86.4
,RO.ESI,NA,1998-04,77.7
,RO.ESI,NA,1998-05,77.6
,RO.ESI,NA,1998-06,77.2
,RO.ESI,NA,1998-07,77
,RO.ESI,NA,1998-08,76.6
,RO.ESI,NA,1998-09,76.8
,RO.ESI,NA,1998-10,69.4
,RO.ESI,NA,1998-11,68.9
,RO.ESI,NA,1998-12,69.1
,RO.ESI,NA,1999-01,57.7
,RO.ESI,NA,1999-02,57.4
,RO.ESI,NA,1999-03,57.1
,RO.ESI,NA,1999-04,78.6
,RO.ESI,NA,1999-05,78.4
,RO.ESI,NA,1999-06,77.8
,RO.ESI,NA,1999-07,82.1
,RO.ESI,NA,1999-08,81.5
,RO.ESI,NA,1999-09,81.8
,RO.ESI,NA,1999-10,81.4
,RO.ESI,NA,1999-11,81
,RO.ESI,NA,1999-12,81.3
,RO.ESI,NA,2000-01,81.3
,RO.ESI,NA,2000-02,80.3
,RO.ESI,NA,2000-03,79.5
,RO.ESI,NA,2000-04,102
,RO.ESI,NA,2000-05,101.9
,RO.ESI,NA,2000-06,101.4
,RO.ESI,NA,2000-07,102.3
,RO.ESI,NA,2000-08,101.9
,RO.ESI,NA,2000-09,102.6
,RO.ESI,NA,2000-10,85.4
,RO.ESI,NA,2000-11,85.2
,RO.ESI,NA,2000-12,86.1
,RO.ESI,NA,2001-01,92
,RO.ESI,NA,2001-02,91.5
,RO.ESI,NA,2001-03,91.7
,RO.ESI,NA,2001-04,103.1
,RO.ESI,NA,2001-05,103.9
,RO.ESI,NA,2001-06,104.5
,RO.ESI,NA,2001-07,102.2
,RO.ESI,NA,2001-08,101.2
,RO.ESI,NA,2001-09,104.2
,RO.ESI,NA,2001-10,96.9
,RO.ESI,NA,2001-11,97.2
,RO.ESI,NA,2001-12,99.9
,RO.ESI,NA,2002-01,104.1
,RO.ESI,NA,2002-02,101.4
,RO.ESI,NA,2002-03,98.8
,RO.ESI,NA,2002-04,96.2
,RO.ESI,NA,2002-05,94.4
,RO.ESI,NA,2002-06,92.9
,RO.ESI,NA,2002-07,96
,RO.ESI,NA,2002-08,102.4
,RO.ESI,NA,2002-09,101.8
,RO.ESI,NA,2002-10,104.5
,RO.ESI,NA,2002-11,108.7
,RO.ESI,NA,2002-12,104.9
,RO.ESI,NA,2003-01,102.3
,RO.ESI,NA,2003-02,101.7
,RO.ESI,NA,2003-03,106
,RO.ESI,NA,2003-04,117.4
,RO.ESI,NA,2003-05,117.6
,RO.ESI,NA,2003-06,122
,RO.ESI,NA,2003-07,114.3
,RO.ESI,NA,2003-08,117.3
,RO.ESI,NA,2003-09,114.2
,RO.ESI,NA,2003-10,114.7
,RO.ESI,NA,2003-11,108.1
,RO.ESI,NA,2003-12,111.6
,RO.ESI,NA,2004-01,106.7
,RO.ESI,NA,2004-02,114.6
,RO.ESI,NA,2004-03,114
,RO.ESI,NA,2004-04,115
,RO.ESI,NA,2004-05,109.4
,RO.ESI,NA,2004-06,124.9
,RO.ESI,NA,2004-07,121.1
,RO.ESI,NA,2004-08,116.3
,RO.ESI,NA,2004-09,119.5
,RO.ESI,NA,2004-10,114.4
,RO.ESI,NA,2004-11,117.8
,RO.ESI,NA,2004-12,117.2
,RO.ESI,NA,2005-01,114.7
,RO.ESI,NA,2005-02,104.3
,RO.ESI,NA,2005-03,107.5
,RO.ESI,NA,2005-04,100.3
,RO.ESI,NA,2005-05,108.9
,RO.ESI,NA,2005-06,100
,RO.ESI,NA,2005-07,107.6
,RO.ESI,NA,2005-08,105.8
,RO.ESI,NA,2005-09,102.5
,RO.ESI,NA,2005-10,105.6
,RO.ESI,NA,2005-11,108.1
,RO.ESI,NA,2005-12,109.5
,RO.ESI,NA,2006-01,109.5
,RO.ESI,NA,2006-02,109.3
,RO.ESI,NA,2006-03,107.4
,RO.ESI,NA,2006-04,106.1
,RO.ESI,NA,2006-05,108.9
,RO.ESI,NA,2006-06,108.4
,RO.ESI,NA,2006-07,108.7
,RO.ESI,NA,2006-08,109
,RO.ESI,NA,2006-09,111
,RO.ESI,NA,2006-10,112.3
